object_id,field,field_group,value,certainty,source_id,locator
IBI-C3A694B7B3C5,biblical_quotations,biblical_intertexts,"[""Exod. 15.3"", ""Ps. 24.8"", ""Ps. 104.20"", ""Ps. 10.16"", ""Ps. 93.1"", ""Exod. 15.18""]",reported,SRC-73C44B143A9D,"p. 156, distribution table, JBA 05"
IBI-C3A694B7B3C5,current_or_reported_collection,location,The Schøyen Collection,reported,SRC-73C44B143A9D,"p. 156, distribution table, JBA 05"
IBI-C3A694B7B3C5,inscription_language,language,Jewish Babylonian Aramaic,reported,SRC-73C44B143A9D,"p. 156, distribution table, JBA 05"
IBI-C3B04E20C369,condition,condition,Broken and mended; segment missing.,reported,SRC-943673B56FB8,"Catalogue, text 10, printed p. 322; PDF p. 328; description column"
IBI-C3B04E20C369,current_or_reported_collection,location,Penn Museum,reported,SRC-943673B56FB8,"p. 322, item 10"
IBI-C3B04E20C369,dimensions,dimensions,height 6.9 cm; diameter 14.2 cm,reported,SRC-943673B56FB8,"p. 322, item 10"
IBI-C3B04E20C369,dimensions,dimensions,height 6.9 cm; diameter 14.2 cm,reported,SRC-943673B56FB8,"Catalogue, text 10, printed p. 322; PDF p. 328; size column (height by diameter)"
IBI-C3B04E20C369,findspot,provenance,Nippur,reported,SRC-943673B56FB8,"p. 322, item 10"
IBI-C3B04E20C369,inscription_language,language,Jewish Babylonian Aramaic,reported,SRC-943673B56FB8,"p. 322, item 10"
IBI-C3B04E20C369,publication_register_identifier,publication,CBS 16014,reported,SRC-943673B56FB8,"Catalogue, text 10, printed p. 322; PDF p. 328; catalogue number column"
IBI-C3B7C297B162,current_location,location,The British Museum,reported,SRC-3D4B57D27A24,Related objects: 1885-1209-1
IBI-C3B7C297B162,dating,dating,6thC-8thC,reported,SRC-3D4B57D27A24,Related objects: 1885-1209-1
IBI-C3B7C297B162,findspot,provenance,Found/Acquired: Iraq,reported,SRC-3D4B57D27A24,Related objects: 1885-1209-1
IBI-C3B7C297B162,period,dating,Late-Post Sasanian,reported,SRC-3D4B57D27A24,Related objects: 1885-1209-1
IBI-C3B7C297B162,production_place,provenance,"Made in: Iraq, South",reported,SRC-3D4B57D27A24,Related objects: 1885-1209-1
IBI-C4639E9E190A,condition,condition,fragmentary,reported,SRC-3A8095B6D794,index entry BM004A
IBI-C478C77AFCC6,current_location,location,"British Museum, London",reported,SRC-24B0EC105BC9,"text 2, pp. 198–201; BM 117877"
IBI-C478C77AFCC6,dimensions,dimensions,8 cm top length × 9 cm height,reported,SRC-24B0EC105BC9,"text 2, pp. 198–201; BM 117877"
IBI-C478C77AFCC6,inscription_language,language,Syriac,reported,SRC-24B0EC105BC9,"text 2, pp. 198–201; BM 117877"
IBI-C478C77AFCC6,line_count,text_form,Traces of 11 lines,reported,SRC-24B0EC105BC9,"text 2, pp. 198–201; BM 117877"
IBI-C478C77AFCC6,material,material,Pottery,reported,SRC-24B0EC105BC9,"text 2, pp. 198–201; BM 117877"
IBI-C478C77AFCC6,provenance,provenance,Possibly from a Rawlinson or Rassam Mesopotamian collection; exact origin uncertain,uncertain,SRC-24B0EC105BC9,"text 2, pp. 198–201; BM 117877"
IBI-C478C77AFCC6,script,script,Estrangela,reported,SRC-24B0EC105BC9,"text 2, pp. 198–201; BM 117877"
IBI-C478C77AFCC6,text_layout,text_form,Probably clockwise spiral from bottom to rim,reported,SRC-24B0EC105BC9,"text 2, pp. 198–201; BM 117877"
IBI-C478C77AFCC6,text_parallel,parallels,Related to VABab 4167-I-5 and MS 2054/124,reported,SRC-24B0EC105BC9,"text 2, pp. 198–201; BM 117877"
IBI-C489B8F60488,script,script,Pseudo-script,reported,SRC-72D809FB4249,text 128Ps; section pp. 150–162
IBI-C48D5B52AB4E,biblical_quotation,biblical_intertexts,Psalms 91:7-8,reported,SRC-C54888E36130,MS 2053/196 context: MS 2053/275
IBI-C48D5B52AB4E,current_location,location,The Schøyen Collection,reported,SRC-C54888E36130,MS 2053/196 context: MS 2053/275
IBI-C4D30211498C,biblical_quotations,biblical_intertexts,"[""Isa. 37.16""]",reported,SRC-73C44B143A9D,"p. 159, distribution table, IM 212103"
IBI-C4D30211498C,current_or_reported_collection,location,Iraq Museum,reported,SRC-73C44B143A9D,"p. 159, distribution table, IM 212103"
IBI-C4D30211498C,inscription_language,language,Jewish Babylonian Aramaic,reported,SRC-73C44B143A9D,"p. 159, distribution table, IM 212103"
IBI-C50A3FF109FA,condition,condition,Intact,reported,SRC-0EFFDC54B348,dealer ref. 6412
IBI-C50A3FF109FA,current_location,location,Unlocated after sale by Christoph Bacher Ancient Art,reported,SRC-0EFFDC54B348,dealer ref. 6412
IBI-C50A3FF109FA,dating,dating,6th century CE,reported,SRC-0EFFDC54B348,dealer ref. 6412
IBI-C50A3FF109FA,dimensions,dimensions,Diameter 17.5 cm,reported,SRC-0EFFDC54B348,dealer ref. 6412
IBI-C50A3FF109FA,iconography,visual,Central figure with raised hands and a spider,reported,SRC-0EFFDC54B348,dealer ref. 6412
IBI-C50A3FF109FA,material,material,Terracotta,reported,SRC-0EFFDC54B348,dealer ref. 6412
IBI-C50A3FF109FA,origin,provenance,Mesopotamia,reported,SRC-0EFFDC54B348,dealer ref. 6412
IBI-C50A3FF109FA,script,script,Pseudo-script,reported,SRC-0EFFDC54B348,dealer ref. 6412
IBI-C50CABFE3DBA,inscription_language,language,Aramaic,reported,SRC-72D809FB4249,text 004A; section pp. 43–102
IBI-C566A8D2270F,current_location,location,The British Museum,reported,SRC-3D4B57D27A24,Related objects: Rm-III-32
IBI-C566A8D2270F,dating,dating,6thC-8thC,reported,SRC-3D4B57D27A24,Related objects: Rm-III-32
IBI-C566A8D2270F,findspot,provenance,Excavated/Findspot: Babylon (historic - Iraq)  | Excavated/Findspot: Ibrahim al-Khalil (Borsippa),reported,SRC-3D4B57D27A24,Related objects: Rm-III-32
IBI-C566A8D2270F,period,dating,Late-Post Sasanian,reported,SRC-3D4B57D27A24,Related objects: Rm-III-32
IBI-C566A8D2270F,production_place,provenance,Made in: Iraq,reported,SRC-3D4B57D27A24,Related objects: Rm-III-32
